pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
USDC/USDT,475,1714380.85,0,,,475,-3.12,-3.76
USDT/USDT,559,1678314.65,0,,,559,3.53,1.61
USDC/USDC,373,1226572.89,0,,,373,0.69,0.82
USDT/ZEC,32,1146609.82,0,,,32,24.51,5.99
USDT/ETH,80,1001431.03,0,,,80,11.38,4.05
USDT/USDC,530,888681.23,0,,,530,9.41,6.29
SOL/ETH,142,872516.80,0,,,142,9.22,4.71
BTC/USDT,84,384805.95,0,,,84,9.91,5.23
BTC/USDC,90,324311.47,0,,,90,12.21,10.12
SOL/USDT,60,315325.12,0,,,60,7.09,2.56
USDC/ZEC,18,287780.71,0,,,18,4.17,0.65
ZEC/USDT,59,196439.31,0,,,59,16.78,12.78
DOGE/USDT,20,149017.56,0,,,20,37.81,8.07
USDC/BTC,24,146243.54,0,,,24,-1.20,0.21
DAI/USDC,13,143362.88,0,,,13,18.80,18.80
USDC/ETH,46,115193.17,0,,,46,-2.44,-1.83
ZEC/USDC,26,105193.97,0,,,26,6.80,10.52
XRP/USDT,14,101567.25,0,,,14,7.15,3.18
BTC/SOL,133,101057.84,0,,,133,9.02,7.49
ETH/SOL,37,90248.67,0,,,37,11.51,5.91
USDT/BTC,37,75637.32,0,,,37,5.01,5.98
USDC/SOL,77,71344.39,0,,,77,3.42,2.28
BTC/DAI,6,61804.41,0,,,6,11.95,12.21
USDT/XRP,14,61646.50,0,,,14,11.30,8.18
SOL/USDC,35,43656.23,0,,,35,7.51,7.36
USDT/XAUT,3,40464.68,0,,,0,,
ETH/USDT,50,38756.29,0,,,50,2.67,2.39
USDT/TRX,103,37053.32,0,,,103,12.20,15.18
BTC/ETH,49,35080.29,0,,,49,10.33,8.88
DAI/ZEC,1,31471.19,0,,,1,28.02,28.02
ETH/ETH,26,26939.46,0,,,26,1.00,1.00
USDC/TRX,102,26430.17,0,,,102,2.90,4.20
USDT/NEAR,43,25132.28,0,,,43,2.86,3.16
USDT/SOL,102,24511.04,0,,,102,7.13,7.11
BTC/ZEC,3,24273.61,0,,,3,18.28,34.84
USDT/BNB,17,15797.09,0,,,17,7.76,9.70
ASTER/USDT,6,13076.30,0,,,6,22.78,14.57
ADA/USDT,3,12217.86,0,,,3,4.29,1.86
ETH/USDC,47,11456.80,0,,,47,6.37,6.35
SOL/TRX,8,11092.68,0,,,8,5.70,7.47
SOL/BTC,24,10750.60,0,,,24,2.57,2.76
SOL/ZEC,1,10744.15,0,,,1,20.19,20.19
USDT/VVV,10,10194.24,0,,,10,15.85,11.66
ETH/BTC,14,8233.54,0,,,14,3.85,2.57
USDC/NEAR,26,8109.08,0,,,26,-30.10,-6.77
USDT/USDT0,20,7378.40,0,,,20,0.97,0.94
USD1/USDT,1,7158.89,0,,,1,3.90,3.90
USDT0/USDT,10,6677.61,0,,,10,1.64,1.69
USDT/DAI,6,6166.48,0,,,6,13.00,13.00
XRP/ETH,12,5976.21,0,,,12,8.74,9.27
LTC/USDC,25,5256.29,0,,,25,16.17,14.41
TRX/USDT,12,5200.26,0,,,12,8.83,11.00
ETH/BNB,20,5055.98,0,,,20,5.27,6.72
BNB/ETH,29,5006.65,0,,,29,3.55,2.28
XRP/SOL,13,4662.95,0,,,13,9.89,8.82
NEAR/BTC,2,4583.83,0,,,2,13.15,13.57
NEAR/USDC,14,4205.26,0,,,14,8.57,15.28
USDT/LTC,19,4196.13,0,,,19,6.02,8.22
USDT/UNI,3,4091.92,0,,,3,6.08,7.78
ZEC/ETH,1,3908.35,0,,,1,30.07,30.07
BTC/BNB,6,3821.41,0,,,6,9.57,9.96
LTC/USDT,26,3535.67,0,,,26,8.93,9.55
POL/USDT,4,3356.39,0,,,4,9.55,16.60
NEAR/USDT,56,3180.45,0,,,56,3.66,5.38
USDT/OKB,10,2970.37,0,,,0,,
ETH/XRP,3,2873.90,0,,,3,5.64,6.69
USDT/ASTER,5,2695.69,0,,,5,10.79,11.33
BNB/USDC,16,2547.68,0,,,16,4.62,3.93
USDC/BNB,14,2434.65,0,,,14,0.92,2.63
BNB/SOL,30,2354.76,0,,,30,3.33,3.17
USDC/TON,7,2304.37,0,,,0,,
USDT/ADI,3,1906.05,0,,,0,,
AURORA/AURORA,38,1812.56,0,,,38,1.00,1.00
ETH/ZEC,1,1799.40,0,,,1,29.25,29.25
USDT/SUI,2,1765.00,0,,,2,12.07,8.59
TRX/BTC,3,1753.12,0,,,3,12.16,12.34
BNB/USDT,20,1720.22,0,,,20,-1.49,-1.90
ZEC/XRP,1,1662.31,0,,,1,33.96,33.96
USDC/XRP,9,1476.77,0,,,9,3.14,3.54
USDT/AURORA,37,1474.00,0,,,0,,
XAUT/USDC,1,1267.50,0,,,0,,
USDT/XLM,3,1206.00,0,,,3,9.14,11.45
NEAR/ZEC,10,1196.21,0,,,10,5.93,4.96
