solver,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
solver-priv-liq.near,666,3839759.67,0,,,563,13.27,8.86
crux-solver.near,1962,3109965.42,0,,,1962,3.36,3.19
0x2e30c32738a28833e3d85189c04895c25ee54cb5,500,1986724.05,0,,,500,6.02,5.79
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,116,1071445.92,0,,,116,12.59,6.96
solver-multichain-asset.near,400,568068.79,0,,,400,1.02,1.11
433d1f6e5452c9f6087af460d1c6b799587132caabeb2477a0ad37e3e0b88d0c,7,517340.85,0,,,7,3.97,6.22
kipseli.near,237,300100.22,0,,,237,2.78,3.88
solver-multichain-asset-escrow.near,35,252417.40,0,,,35,1.00,1.00
sodax-tron-test.near,54,156094.76,0,,,54,0.11,0.72
sodax-solver.near,297,40236.45,0,,,297,2.70,4.02
solver-multichain-asset-3.near,8,19354.46,0,,,8,1.00,1.00
ce72f625f99f907b6cadc7c40517aa10e0e195de793846d5cabd3442b6541c2d,1,4999.23,0,,,1,2.40,2.40
4fdbc608fd712338c7680c224f249360c855987cc25ec4501a9a47ef4c789264,39,4772.78,0,,,39,2.98,1.35
l2solver.near,2,2520.79,0,,,2,2.11,2.17
solver-ref.near,14,1155.42,0,,,8,-2.26,-2.21
brlabs-solver.near,11,1047.51,0,,,11,2.98,2.95
solver-multichain-asset-2.near,1,623.67,0,,,1,1.00,1.00
cerberus-solver.near,4,438.51,0,,,4,6.25,6.23
2f09a4dc4b29cfdfe5d7a14afb04f0aa6c68e0b54f3bb606b168919b68085059,4,438.24,0,,,4,-6.24,-6.15
solverwithlp.near,1,135.19,0,,,1,10.40,10.40
nocturnallabs.near,1,121.51,0,,,1,2.96,2.96
atlas.mp-solver.near,1,68.24,0,,,1,9.81,9.81
