solver,pair,n_legs,volume_usd,binance_n,binance_vw_edge_bps,binance_mean_edge_bps,hl_n,hl_vw_edge_bps,hl_mean_edge_bps
solver-priv-liq.near,USDT/ZEC,11,975919.99,0,,,11,28.21,20.31
solver-priv-liq.near,USDT/ETH,19,963795.66,0,,,19,12.20,12.22
crux-solver.near,SOL/ETH,92,753262.71,0,,,92,7.76,4.82
solver-priv-liq.near,USDC/USDT,59,566087.48,0,,,59,-4.60,-4.55
crux-solver.near,USDC/USDT,325,507916.28,0,,,325,-4.52,-4.06
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/USDC,116,491059.34,0,,,116,10.39,6.62
crux-solver.near,USDC/USDC,145,420247.57,0,,,145,0.55,0.71
solver-multichain-asset.near,USDC/USDC,155,396478.68,0,,,155,1.00,1.00
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDC/USDC,51,391227.61,0,,,51,0.50,0.47
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/USDT,25,364039.54,0,,,25,9.90,9.90
crux-solver.near,USDT/USDT,214,330418.43,0,,,214,0.85,1.16
solver-priv-liq.near,SOL/USDT,20,309918.31,0,,,20,7.21,7.00
solver-priv-liq.near,BTC/USDT,17,291499.43,0,,,17,10.57,8.78
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDC/USDT,62,257442.31,0,,,62,-3.22,-2.76
solver-multichain-asset-escrow.near,USDT/USDT,20,251684.77,0,,,20,1.00,1.00
433d1f6e5452c9f6087af460d1c6b799587132caabeb2477a0ad37e3e0b88d0c,USDC/USDT,2,238735.33,0,,,2,1.40,1.29
433d1f6e5452c9f6087af460d1c6b799587132caabeb2477a0ad37e3e0b88d0c,USDT/USDT,2,223405.24,0,,,2,5.00,5.00
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/USDT,19,170392.05,0,,,19,2.66,1.96
sodax-tron-test.near,USDT/USDT,54,156094.76,0,,,54,0.11,0.72
solver-priv-liq.near,BTC/USDC,23,152557.19,0,,,23,14.42,14.10
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,DOGE/USDT,1,146544.12,0,,,1,38.33,38.33
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,DAI/USDC,13,143362.88,0,,,13,18.80,18.80
solver-multichain-asset.near,USDT/USDT,176,142779.22,0,,,176,1.10,1.26
kipseli.near,USDT/USDC,181,134669.46,0,,,181,6.31,4.77
solver-priv-liq.near,USDT/USDC,78,134106.91,0,,,78,7.01,6.67
kipseli.near,USDC/USDT,13,129696.91,0,,,13,-0.73,-1.14
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/ZEC,1,127073.81,0,,,1,-0.76,-0.76
crux-solver.near,BTC/USDC,31,113339.08,0,,,31,10.17,8.74
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/ZEC,1,103348.33,0,,,1,4.80,4.80
solver-priv-liq.near,XRP/USDT,5,99649.41,0,,,5,7.19,4.86
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ETH/SOL,4,86847.72,0,,,4,11.76,9.84
crux-solver.near,USDC/BTC,12,85803.34,0,,,12,-2.21,-0.44
crux-solver.near,ZEC/USDT,10,81503.79,0,,,10,15.16,14.42
crux-solver.near,USDT/USDC,139,79383.78,0,,,139,7.95,7.04
crux-solver.near,USDC/ETH,30,78526.52,0,,,30,2.72,0.69
crux-solver.near,USDT/BTC,24,73023.26,0,,,24,4.94,4.84
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ZEC/USDT,42,70969.19,0,,,42,8.92,10.86
crux-solver.near,USDC/SOL,57,69111.79,0,,,57,3.44,2.41
0x2e30c32738a28833e3d85189c04895c25ee54cb5,BTC/SOL,55,67545.58,0,,,55,9.99,8.13
crux-solver.near,USDT/ZEC,17,67221.49,0,,,17,1.11,3.14
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDC/ZEC,2,66124.22,0,,,2,10.07,9.18
crux-solver.near,USDC/ZEC,14,64803.72,0,,,14,0.40,-1.87
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,BTC/DAI,6,61804.41,0,,,6,11.95,12.21
0x2e30c32738a28833e3d85189c04895c25ee54cb5,SOL/ETH,7,59346.64,0,,,7,9.21,6.76
0x2e30c32738a28833e3d85189c04895c25ee54cb5,BTC/USDC,30,57820.09,0,,,30,10.42,8.45
solver-priv-liq.near,USDC/BTC,6,57235.41,0,,,6,0.40,2.79
solver-priv-liq.near,SOL/ETH,4,55108.41,0,,,4,29.69,12.55
0x2e30c32738a28833e3d85189c04895c25ee54cb5,USDT/XRP,1,49649.95,0,,,1,12.70,12.70
0x2e30c32738a28833e3d85189c04895c25ee54cb5,ZEC/USDC,17,47451.55,0,,,17,17.31,14.21
433d1f6e5452c9f6087af460d1c6b799587132caabeb2477a0ad37e3e0b88d0c,BTC/USDT,2,45202.29,0,,,2,10.75,9.61
crux-solver.near,SOL/USDC,19,40749.43,0,,,19,7.16,7.10
solver-priv-liq.near,USDT/XAUT,3,40464.68,0,,,0,,
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/USDC,7,37778.06,0,,,7,18.80,18.80
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,ZEC/USDC,4,34403.40,0,,,4,-16.23,-16.41
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,DAI/ZEC,1,31471.19,0,,,1,28.02,28.02
kipseli.near,USDT/USDT,35,30933.12,0,,,35,0.91,1.12
solver-priv-liq.near,USDC/ZEC,1,29778.96,0,,,1,20.26,20.26
crux-solver.near,BTC/SOL,51,26372.13,0,,,51,6.50,6.66
crux-solver.near,BTC/USDT,30,26036.12,0,,,30,5.29,4.78
crux-solver.near,ETH/USDT,24,24431.50,0,,,24,0.50,1.02
0x2e30c32738a28833e3d85189c04895c25ee54cb5,BTC/ETH,10,24247.73,0,,,10,11.62,11.88
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,ZEC/USDT,1,24183.32,0,,,1,31.12,31.12
crux-solver.near,ZEC/USDC,5,23339.02,0,,,5,19.39,19.52
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/TRX,32,22844.89,0,,,32,3.81,5.97
crux-solver.near,USDT/NEAR,30,22636.86,0,,,30,4.12,3.83
solver-multichain-asset.near,ETH/ETH,19,22544.54,0,,,19,1.00,1.00
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/TRX,5,22475.02,0,,,5,2.68,0.98
crux-solver.near,USDT/ETH,43,20892.29,0,,,43,4.94,5.34
solver-priv-liq.near,ZEC/USDT,3,19526.34,0,,,3,34.50,33.57
solver-priv-liq.near,USDC/ETH,5,18735.14,0,,,5,5.19,5.94
0x2e30c32738a28833e3d85189c04895c25ee54cb5,BTC/USDT,24,18280.35,0,,,24,4.94,3.53
solver-multichain-asset-3.near,USDC/USDC,7,17886.40,0,,,7,1.00,1.00
crux-solver.near,USDT/SOL,73,17720.85,0,,,73,7.33,7.27
crux-solver.near,BTC/ZEC,1,16508.81,0,,,1,3.04,3.04
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/ETH,3,15991.98,0,,,3,-36.82,-36.67
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDT/ETH,5,15416.65,0,,,5,-30.55,-30.61
crux-solver.near,USDT/BNB,12,14425.34,0,,,12,7.64,9.71
solver-priv-liq.near,ASTER/USDT,6,13076.30,0,,,6,22.78,14.57
solver-priv-liq.near,USDT/TRX,34,12243.09,0,,,34,27.89,27.10
solver-priv-liq.near,ADA/USDT,3,12217.86,0,,,3,4.29,1.86
6247d9c671ca6a80cf2c75e26edb8cd75ebf00fcd3c56c39107d6ca20c9cfb29,USDC/USDT,2,11464.81,0,,,2,13.23,15.00
crux-solver.near,SOL/TRX,8,11092.68,0,,,8,5.70,7.47
crux-solver.near,SOL/ZEC,1,10744.15,0,,,1,20.19,20.19
