timestamp,tx,solver,leg_class,pair,side,base_symbol,quote_symbol,base_amount,quote_amount,native_rate,binance_rate,hyperliquid_rate,edge_bps_binance,edge_bps_hyperliquid,notional_usd
2026-07-09T23:15:22,DZfaUncpT5kSPFLQru17gCQ3rG1AtdnxDxyJTpkuqatC,solver-priv-liq.near,interesting,LTC/USDC,buy_base,LTC,USDC,0.992999,43.539143,43.84610961,,43.928,,18.68,43.54
2026-07-09T23:15:22,DZfaUncpT5kSPFLQru17gCQ3rG1AtdnxDxyJTpkuqatC,solver-priv-liq.near,interesting,USDC/BTC,sell_base,BTC,USDC,0.00068875,43.539099,63214.66279,,63181,,5.33,43.54
2026-07-09T23:15:23,8NiD6MBdMdXmMToWQF1KvVV9mVed8D16ktcq3wNsuYyd,crux-solver.near,interesting,TRX/USDT,buy_base,TRX,USDT,34.769344,11.5234,0.3314241419,,0.33155,,3.80,11.52
2026-07-09T23:15:23,8NiD6MBdMdXmMToWQF1KvVV9mVed8D16ktcq3wNsuYyd,crux-solver.near,stable_stable,USDT/USDC,sell_base,USDC,USDT,11.516362,11.523388,1.000610088,,1,,6.10,11.52
2026-07-09T23:15:24,ACJNzAt2SMYhAYJJdcR5KcPUwyDaeWVgtYqVCuTKQUDT,solver-priv-liq.near,interesting,LTC/USDT,buy_base,LTC,USDT,7.52233137,330.140417,43.88804491,,43.928,,9.10,330.14
2026-07-09T23:15:24,ACJNzAt2SMYhAYJJdcR5KcPUwyDaeWVgtYqVCuTKQUDT,solver-multichain-asset.near,same_asset,USDT/USDT,sell_base,USDT,USDT,330.107072,330.140086,1.00010001,,1,,1.00,330.14
2026-07-09T23:15:37,5EjNuMZdBBQa5VXTheHFhTpKDxcNd4H7wwyTEPq69p6J,solver-priv-liq.near,interesting,LTC/USDT,buy_base,LTC,USDT,0.58556599,25.68649,43.86608929,,43.928,,14.11,25.69
2026-07-09T23:15:37,5EjNuMZdBBQa5VXTheHFhTpKDxcNd4H7wwyTEPq69p6J,0x2e30c32738a28833e3d85189c04895c25ee54cb5,stable_stable,USDT/USDC,sell_base,USDC,USDT,25.671141,25.686464,1.000596896,,1,,5.97,25.69
2026-07-09T23:16:23,57NKdVThakCZ4sNoH3gmTFCZGo6WueAmpafMhJL4FEok,kipseli.near,stable_stable,USDT/USDC,sell_base,USDC,USDT,10.64451,10.649989,1.000514725,,1,,5.15,10.65
2026-07-09T23:16:27,BU4XfLgnXwB6zi22vFHH4xguZ4faqAfpdzm36sDmQpeq,sodax-tron-test.near,same_asset,USDT/USDT,sell_base,USDT,USDT,146.930609,146.930183,0.9999971007,,1,,-0.03,146.93
2026-07-09T23:16:32,7ACPxRTYUKbCBFXkzahxZENz2LpERZbwbLHdjKZji7UA,crux-solver.near,same_asset,USDC/USDC,sell_base,USDC,USDC,1397.677614,1397.747502,1.000050003,,1,,0.50,1397.75
2026-07-09T23:16:32,7ACPxRTYUKbCBFXkzahxZENz2LpERZbwbLHdjKZji7UA,crux-solver.near,stable_stable,USDC/USDT,sell_base,USDT,USDC,1398.388991,1397.676216,0.9994902885,,1,,-5.10,1397.68
2026-07-09T23:16:35,9dSMokke5XSjYgP69TKxkeEi9HWfwRRpqXYQVLzo7Xfy,solver-priv-liq.near,interesting,ADA/USDT,buy_base,ADA,USDT,76.439923,12.706883,0.1662335924,,0.16633,,5.80,12.71
2026-07-09T23:16:35,9dSMokke5XSjYgP69TKxkeEi9HWfwRRpqXYQVLzo7Xfy,0x2e30c32738a28833e3d85189c04895c25ee54cb5,stable_stable,USDT/USDC,sell_base,USDC,USDT,12.699262,12.70687,1.00059909,,1,,5.99,12.71
2026-07-09T23:16:47,GCgFABj4ZbvWeAiRNWfbJ6rXNHEyqQvzoNLDHmh8Y8Qo,0x2e30c32738a28833e3d85189c04895c25ee54cb5,stable_stable,USDT/USDC,sell_base,USDC,USDT,22.548512,22.562019,1.00059902,,1,,5.99,22.56
2026-07-09T23:16:50,CZHCA45Ggk8pFgYtEVUYdZqWpEhAkGBJVDn1Z1mEpBPN,solver-multichain-asset.near,same_asset,USDT/USDT,sell_base,USDT,USDT,40.708887,40.712959287,1.000100034,,1,,1.00,40.71
2026-07-09T23:16:50,CZHCA45Ggk8pFgYtEVUYdZqWpEhAkGBJVDn1Z1mEpBPN,0x2e30c32738a28833e3d85189c04895c25ee54cb5,interesting,USDT/SOL,sell_base,SOL,USDT,0.52211661,40.708846,77.96887749,,77.888,,10.38,40.71
2026-07-09T23:16:59,E31C1pNa6ZPDd7wLLJt6VgqtPkSW6vkkZvCLyyw9en5F,sodax-solver.near,interesting,BNB/SOL,sell_base,SOL,BNB,0.522819577,0.071619777987013119,0.1369875596,,0.1369483419,,2.86,40.72
2026-07-09T23:17:10,D6Ux38htiLL48bc24YbP7YMgC6zrEcTmdL1okMD5jGRf,solver-priv-liq.near,stable_stable,USDC/USDT,sell_base,USDT,USDC,49.322625,49.29995,0.9995402718,,1,,-4.60,49.30
2026-07-09T23:17:10,D6Ux38htiLL48bc24YbP7YMgC6zrEcTmdL1okMD5jGRf,solver-priv-liq.near,interesting,USDT/DOGE,sell_base,DOGE,USDT,676.18628854,49.322575,0.072942288,,0.0728435,,13.56,49.32
2026-07-09T23:17:47,2LYfBVGyxMUgajREwB5gFuoSBhZP8dgyqhiP3raTo5hT,crux-solver.near,interesting,SOL/ETH,buy_base,SOL,ETH,0.270728729,0.012090455888693846,0.04465893196,,0.04467314918,,3.18,21.08
2026-07-09T23:17:51,6bB1dRFTjBvzNVgb6xnChUzqRMagELsofa1LqMhU9kZV,0x2e30c32738a28833e3d85189c04895c25ee54cb5,interesting,BTC/ETH,sell_base,ETH,BTC,0.01791400947608722,0.00049524,0.02764540237,,0.02761666363,,10.41,31.23
